Sample	Rawname	Mass (g)	Condition	[6287] L-valine 2 [9.151] Results	[700] ethanolamine [9.879] Results	[1004] phosphoric acid [9.966] Results	[791] DL-isoleucine 2 [10.225] Results	[145742] L-proline 2 [10.321] Results	[750] glycine [10.456] Results	[5951] L-serine 2 [11.174] Results	[6288] L-threonine 2 [11.464] Results	[649] 5,6-dihydrouracil 2 [12.773] Results	[33032] L-glutamic acid 3 (dehydrated) [13.232] Results	[119] gamma-aminobutyric acid (GABA) [13.326] Results	[236] L-asparagine 1 [14.496] Results	[33032] L-glutamic acid 2 [14.398] Results	[236] L-asparagine 2 [14.984] Results	[827] ribitol [15.66] Results	[444212] trans-aconitic acid [15.842] Results	[738] L-glutamine 3 [16.092] Results	[328] DL-4-hydroxymandelic acid [16.126] Results	[8742] shikimic acid [16.433] Results	[6508] quinic acid [17.076] Results	[5984] fructose 1 [17.18] Results	[204] allantoin 1 [17.293] Results	[5984] fructose 2 [17.288] Results	[24749] D-glucose 1 [17.426] Results	[24749] D-glucose 2 [17.625] Results	[6057] tyrosine 2 [17.871] Results	[6251] D-mannitol [17.81] Results	[985] palmitic acid [18.846] Results	[899] N-acetyl-D-mannosamine 2 [19.339] Results	[892] myo-inositol [19.354] Results	[5281] stearic acid [20.675] Results	[6305] L-tryptophan 2 [20.466] Results	[5988] Sucrose [23.988] Results	[11333] lactulose 3 [24.431] Results	[7427] D-(+) trehalose [24.752] Results	[439451] galactinol 2 [26.479] Results
BLK	240722_SP_001			0.0963855421686747	0.14457831325301204	0.1746987951807229	0.12048192771084337	0.15963855421686746	0.24849397590361447	0.19427710843373494	0.1822289156626506	0.1566265060240964	0.19126506024096385	0.10391566265060241	0.14457831325301204	0.1716867469879518	0.17319277108433734	1.0	0.15963855421686746	0.17771084337349397	0.16415662650602408	0.22289156626506024	0.10692771084337349	0.4427710843373494	0.2816265060240964	0.7530120481927711	0.5662650602409639	0.2996987951807229	0.3313253012048193	0.16566265060240964	0.3207831325301205	0.10090361445783133	0.11295180722891567	0.35993975903614456	0.09939759036144578	2.661144578313253	0.26506024096385544	0.375	0.1822289156626506
A2R	240722_SP_005	0.0307	1753	13.46187183033656	2.8741355463347165	12.96698939603504	4.213185799907792	15.190963577685569	3.2792992162286767	6.486491470723836	1.7517750115260489	0.3066851083448594	21.650622406639005	2.7860765329644996	3.399538958045182	1.3935454126325495	12.264822498847396	1.0	2.712955278930383	0.4892577224527432	1.0398340248962656	0.8387275242047026	1.5646841862609497	62.51009681881051	0.8215767634854771	49.77630244352236	55.08215767634855	9.048409405255878	0.096726602120793	9.080774550484094	0.14863992623328723	0.8411249423697557	3.5005071461502997	0.022222222222222223	0.10972798524665744	63.539603503918855	50.62747810050715	19.18017519594283	0.8235131396957123
D2R	240722_SP_006	0.0319	No Ino.	4.11363186704478	1.044186506627976	1.8419837762975664	1.177273626591044	9.979159796873969	1.3652971047945657	1.89217173382576	0.7239992085998813	0.06463100969465145	8.45083426762514	2.5054408758161313	0.9462507419376113	0.47444437116665567	3.0342280551342085	1.0	1.0054738508210777	0.09397876409681462	0.8465343269801491	0.5965837894875684	1.6945195541779332	54.54685748202862	0.4135725120358768	49.777550616632595	53.52727032909055	15.583525687528853	0.07887621183143177	15.595792389368858	0.05546395831959375	0.1517509727626459	1.9697948954692344	0.01595990239398536	0.06370770955615643	45.523445228516785	34.05744245861637	12.690958253643737	0.47820352173052827
A4R	240722_SP_007	0.0299	1753	2.7118055555555554	1.1735443376068375	1.0436030982905984	0.5415998931623932	3.4536591880341883	0.9559962606837606	1.263621794871795	0.38848824786324787	0.08106303418803419	5.756877670940171	1.9033119658119657	1.0703125	0.24245459401709402	1.2712339743589745	1.0	0.6341479700854701	0.044738247863247864	0.6624599358974359	0.47763087606837606	1.2144764957264957	42.39496527777778	0.20719818376068377	31.32465277777778	42.243589743589745	7.78772702991453	0.49485844017094016	1.516159188034188	0.0343215811965812	0.10610309829059829	1.7815838675213675	0.010817307692307692	0.027644230769230768	45.99459134615385	24.346888354700855	9.838541666666666	0.5182291666666666
D1R	240722_SP_008	0.0291	No Ino.	6.652487382840663	1.439581831290555	1.6123287671232878	2.386589762076424	8.010598413842827	1.59718817591925	1.9265320836337418	0.7852919971160779	0.06856524873828407	14.940879596250902	2.6963229992790194	1.0737563085796684	0.2579668348954578	1.632083633741889	1.0	0.7703677000720981	0.08550829127613555	0.7902667627974045	0.5891852919971161	1.3866618601297764	47.10785868781543	0.3526315789473684	36.21586157173756	40.287815428983414	6.675558759913482	0.40223503965392937	6.67916366258111	0.08038932948810382	0.6519826964671954	2.9550829127613554	0.009516943042537852	0.15645277577505406	49.688103821196826	31.576496034607064	0.9714491708723865	0.27591925018024516
C4R	240722_SP_009	0.031	1607	2.1741639945029774	1.2486486486486486	0.8342647732478241	0.4808978469995419	2.0481905634448005	0.8990380210719193	0.4201557489693083	0.2462666055886395	0.06669720568025653	4.862024736601008	1.469903802107192	0.5945945945945946	0.16811726981218506	0.6788822721026111	1.0	0.4817224003664682		0.2879523591387998	0.34200641319285385	0.97141548327989	39.08153916628493	0.15080164910673385	25.287036188731104	33.0545121392579	4.823820430600092	0.3158955565735227	4.830874942739349	0.03527256069628951	0.5116811726981219	2.0192395785616126	0.02015574896930829	0.016307833256985798	63.14961062757673	23.66184150251947	0.9734310581768209	0.4968392120934494
B3R	240722_SP_010	0.0311	1615	3.9353666105151164	1.1211100274847061	2.8056565298342053	0.7708130153382392	5.2692614593492335	1.5667169075272631	1.2362798120400744	0.45518219700328044	0.04663534001241245	11.772231580813902	2.2353045482755562	0.7380973490557674	0.285043000265981	1.034843514495966	1.0	1.0510683571238586	0.050447734728256054	0.542157992729852	0.5463250288146112	1.281673907261282	66.56751485060732	0.32272364571327244	59.425835623725504	65.22847770192394	14.636403936519194	0.7211632236900435	14.640216331235038	0.085291249224222	0.17421757247982977	1.512900079794308	0.020125897685965066	0.038389928185122796	61.048142565830304	27.010018618671868	10.568401454029612	0.4112953275999645
C2R	240722_SP_011	0.0322	1607	3.3538503253796095	1.0945408532176428	0.4968365871294288	1.0801699204627622	4.501536514822849	0.5552241503976862	0.8405639913232104	0.3171547360809834	0.060014461315979754	3.4188358640636296	1.0515184381778742	0.5447396963123644	0.12626536514822848	0.2575921908893709	1.0	0.27485538684020244		0.33206796818510487	0.4198300795372379	0.8982284887924801	21.75840563991323	0.07926608821402747	14.651482284887924	17.363882863340564	2.8092010122921187	0.22134851771511208	2.8073933477946493	0.030187997107736803	0.5105748373101953	2.3900939985538683	0.028651482284887925	0.01970354302241504	61.64253434562545	13.972704266088215	1.077187274041938	0.27431308749096167
D3R	240722_SP_012	0.0331	No Ino.	0.8765564442978477	0.4210439515131525		0.3388307083367692	0.44207141090129465	0.2529891976581182	0.027954151892471343	0.05021852065638657	0.012616475632885297	0.23336356889585222	0.2557928589098705	0.03479838377174899	0.0047827162529891975	0.008905747505566093	1.0	0.06992661004370414	0.010967263131854539	0.10843572194277233	0.14958357384348972	0.4583161540364476	16.463098870289436	0.039910942524944336	10.878782881174239	14.38764739836728	2.35334377834584	0.1884225282427641	0.7522882823451802		0.2485363239053352	0.9288364805805228	0.022924053764327535	0.00470025562793766	47.45097715840686	6.363981198977489	1.4033973777521234	0.11560979632225613
C3R	240722_SP_013	0.0343	1607	3.4491202464931483	1.8270493797129652	12.11992216005838	0.7845617449120247	3.701370307305603	1.3763074677693992	1.5267980215681505	0.44182275196626936	0.1379226465580151	10.16889645666099	1.8661315170680288	1.7488040217303171	0.8056433957674531	4.645503932538717	1.0	0.5049055379875131	0.06486661801670315	1.0998945917457228	0.5353928484553636	1.5740695694478228	53.911943566042325	0.33957674531744103	40.60950295953945	48.155598799967564	8.00275683126571	0.09000243249817563	8.03227114246331	0.07865077434525257	0.840590286223952	3.9742966026108815	0.06397470201897348	0.09105651504094706	55.92345739074029	45.74815535555015	0.9987837509121869	0.8042649801345982
